Date,Open,High,Low,Close,Volume
9-Jun-14,15.1,15.15,15,15,"2,944,000"
6-Jun-14,15.2,15.2,15.05,15.1,"4,020,000"
5-Jun-14,15.1,15.15,15.05,15.15,"4,198,000"
4-Jun-14,15.1,15.2,15.1,15.1,"2,619,000"
3-Jun-14,15.1,15.25,15.1,15.1,"2,979,000"
30-May-14,15.2,15.25,15.1,15.1,"6,623,000"
29-May-14,15.3,15.3,15.15,15.2,"1,953,000"
28-May-14,15.15,15.3,15.15,15.3,"3,130,000"
27-May-14,15.1,15.2,15.1,15.1,"3,374,000"
26-May-14,15.2,15.25,15.1,15.1,"3,210,000"
23-May-14,15.25,15.35,15.15,15.25,"3,409,000"
22-May-14,15.15,15.3,15.15,15.3,"3,169,000"
21-May-14,15.15,15.25,15.15,15.25,"2,127,000"
20-May-14,15.2,15.3,15.15,15.25,"3,153,000"
19-May-14,15.3,15.3,15.2,15.2,"3,331,000"
16-May-14,15.35,15.4,15.1,15.35,"5,207,000"
15-May-14,15.55,15.55,15.45,15.5,"1,828,000"
14-May-14,15.5,15.6,15.4,15.55,"2,812,000"
13-May-14,15.5,15.6,15.4,15.5,"2,321,000"
12-May-14,15.4,15.6,15.35,15.5,"2,745,000"
9-May-14,15.55,15.6,15.4,15.45,"3,093,000"
8-May-14,15.5,15.55,15.35,15.55,"3,170,000"
7-May-14,15.3,15.4,15.2,15.4,"2,810,000"
6-May-14,15.25,15.3,15.2,15.3,"1,729,000"
5-May-14,15.4,15.4,15.25,15.35,"2,131,000"
2-May-14,15.3,15.4,15.25,15.35,"2,699,000"
30-Apr-14,15.3,15.35,15.15,15.3,"2,521,000"
29-Apr-14,15.2,15.3,15.15,15.3,"2,261,000"
28-Apr-14,15.1,15.25,15.05,15.15,"7,328,000"
25-Apr-14,15.6,15.65,15.1,15.25,"5,195,000"
24-Apr-14,15.7,15.7,15.5,15.6,"4,097,000"
23-Apr-14,15.7,15.75,15.6,15.7,"1,710,000"
22-Apr-14,15.65,15.7,15.6,15.7,"1,887,000"
21-Apr-14,15.75,15.75,15.6,15.65,"2,431,000"
18-Apr-14,15.85,15.85,15.7,15.75,"1,947,000"
17-Apr-14,15.7,15.85,15.7,15.75,"3,261,000"
16-Apr-14,15.75,15.85,15.7,15.7,"3,345,000"
15-Apr-14,15.7,15.8,15.65,15.75,"2,896,000"
14-Apr-14,15.7,15.8,15.6,15.7,"3,375,000"
11-Apr-14,15.7,15.8,15.6,15.75,"4,287,000"
